```csv
id,category,score,description,keywords
1,People,0,No injury or risk of harm,"[""safe"",""no harm"",""uninjured""]"
2,People,2,First aid only; no lost time,"[""first aid"",""minor"",""band-aid""]"
3,People,4,Medical treatment; lost time injury (LTI) no hospitalization,"[""medical"",""treatment"",""doctor visit""]"
4,People,6,Serious injury; hospitalization restricted duty >3 days,"[""hospital"",""serious"",""admitted""]"
5,People,8,Permanent disability amputation serious head/spine injury,"[""disability"",""amputation"",""permanent""]"
6,People,10,Single or multiple fatalities,"[""death"",""fatality"",""killed""]"
7,Environment,0,No environmental impact,"[""clean"",""contained"",""no spill""]"
8,Environment,2,Minor spill/release contained on-site,"[""small spill"",""minor leak"",""contained""]"
9,Environment,4,Moderate spill requiring cleanup,"[""spill"",""cleanup"",""moderate""]"
10,Environment,6,Significant environmental damage,"[""environmental damage"",""contamination""]"
11,Environment,8,Major environmental impact,"[""major spill"",""widespread""]"
12,Environment,10,Catastrophic environmental damage,"[""catastrophic"",""disaster"",""massive spill""]"
13,Cost,0,No financial impact (<$1000),"[""minimal cost"",""no expense""]"
14,Cost,2,Low cost impact ($1K-$10K),"[""low cost"",""minor expense""]"
15,Cost,4,Moderate cost ($10K-$100K),"[""moderate cost"",""significant expense""]"
16,Cost,6,High cost ($100K-$1M),"[""expensive"",""high cost""]"
17,Cost,8,Very high cost ($1M-$10M),"[""very expensive"",""major cost""]"
18,Cost,10,Extreme cost (>$10M),"[""extreme cost"",""catastrophic loss""]"
19,Reputation,0,No public awareness,"[""private"",""internal"",""no publicity""]"
20,Reputation,2,Minor local attention,"[""local news"",""minor attention""]"
21,Reputation,4,Regional media attention,"[""regional news"",""media coverage""]"
22,Reputation,6,National media attention,"[""national news"",""widespread coverage""]"
23,Reputation,8,International attention,"[""international news"",""global coverage""]"
24,Reputation,10,Severe reputation damage,"[""brand damage"",""public relations disaster""]"
25,Legal,0,No legal implications,"[""no legal issues"",""compliant""]"
26,Legal,2,Minor regulatory involvement,"[""minor violation"",""warning""]"
27,Legal,4,Regulatory investigation,"[""investigation"",""regulatory review""]"
28,Legal,6,Significant fines or penalties,"[""fines"",""penalties"",""enforcement""]"
29,Legal,8,Criminal charges possible,"[""criminal charges"",""prosecution""]"
30,Legal,10,Severe legal consequences,"[""lawsuit"",""criminal liability"",""imprisonment""]"
```
